"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J7";"PinHeader_1x03_P2.54mm_Vertical";1;"LED";;;
2;"U2";"PinHeader_1x07_P2.54mm_Vertical";1;"TTL_UART_adapter_iot_postbox";;;
3;"SW1";"1P2T_SPDT_MSK-C02_7pin";1;"POWER";;;
4;"U6";"SOT-23";1;"MCP1700-3302E_SOT23";;;
5;"U5";"TSSOP-8_4.4x3mm_P0.65mm";1;"FS8205A";;;
6;"U4";"SOT-23-6_Handsoldering";1;"DW01";;;
7;"U3";"TP4056_SOP-8-PP";1;"TP4056";;;
8;"U1";"ESP-12E";1;"ESP-12F";;;
9;"R_PROG1";"R_0805_2012Metric";1;"2K";;;
10;"R13";"R_0805_2012Metric";1;"300K";;;
11;"R12";"R_0805_2012Metric";1;"1M";;;
12;"R11";"R_0805_2012Metric";1;"100R";;;
13;"R10,R9,R8";"R_0805_2012Metric";3;"1K";;;
14;"R6,R7,R5,R4,R3,R2,R1";"R_0805_2012Metric";7;"10K";;;
15;"J6";"PinHeader_1x02_P2.54mm_Vertical";1;"Battery";;;
16;"J5";"JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal";1;"Battery";;;
17;"J4";"USB_Micro-B_Amphenol_10118194_Horizontal";1;"USB_B_Micro";;;
18;"J3";"PinHeader_1x02_P2.54mm_Vertical";1;"PowerIn";;;
19;"J1";"PinHeader_1x02_P2.54mm_Vertical";1;"Switch_1";;;
20;"J2";"PinHeader_1x02_P2.54mm_Vertical";1;"Switch_2";;;
21;"D5";"LED_0805_2012Metric";1;"STDBY";;;
22;"D4";"LED_0805_2012Metric";1;"CHRG";;;
23;"D3,D2,D1";"D_SOD-123";3;"1N4007";;;
24;"C7,C6";"C_0805_2012Metric";2;"1uf";;;
25;"C5";"C_0805_2012Metric";1;"0.1uF";;;
26;"C4,C3,C1";"C_0805_2012Metric";3;"10uF";;;
27;"C2";"C_0805_2012Metric";1;"100nF";;;
